shortName,npxG_adjusted_per90,final_third_passes_adjusted_per90,final_third_receptions_adjusted_per90,ground_duels_won_adjusted_per90,air_duels_won_adjusted_per90,smart_passes_adjusted_per90,goals_adjusted_per90,assists_adjusted_per90,key_passes_adjusted_per90,Minutes
W. Bony,0.4574683706642656,10.055333176359785,17.790204850482695,9.53967506475159,12.375794678596655,1.0313162232163882,0.5156581116081941,0.0,0.25782905580409704,756
\u00c1lvaro Morata,0.7800153247254575,14.92035552797208,25.492064721158325,12.746032360579163,3.598879725339999,0.6747899485012497,0.8247432703904165,0.2999066437783332,0.44985996566749986,2143
Jes\u00e9 Rodr\u00edguez,0.32291995134770884,15.423408845738944,29.053398058252426,11.836569579288028,0.0,1.0760517799352751,0.35868392664509174,0.35868392664509174,1.0760517799352751,618
Joselu,0.7391858976887277,16.066809937514257,21.140539391466127,6.040154111847465,16.187613019751204,0.36240924671084795,0.4832123289477972,0.1208030822369493,0.4832123289477972,1775
Deulofeu,0.30021723826140095,20.671672924488945,29.109090444688512,13.077997156309332,0.0,1.6874835040399139,0.42187087600997847,0.0,0.42187087600997847,441
Pedro,0.4154914082903352,23.442192489541306,29.998059880684213,9.237813142065006,0.09933132410822586,0.9933132410822587,0.39732529643290343,0.19866264821645171,0.39732529643290343,1592
A. S\u00e1nchez,0.4428626693345386,39.374160547164216,48.388924040237264,16.342893816474366,0.9887159960144632,3.3732663393434636,0.4652781157715122,0.29079882235719506,1.8029526986146096,2639
S. Rond\u00f3n,0.5484120572509372,17.738597613655703,26.498398904349873,15.767642323249513,10.14676982838742,0.36499172044559064,0.5109884086238268,0.07299834408911812,0.36499172044559064,2901
T. Hemed,0.6242251365569542,8.503935149311557,22.753772426536326,5.975738213029744,15.399017702807415,0.2298360851165286,0.4596721702330572,0.2298360851165286,0.0,883
Philippe Coutinho,0.3157850518334679,38.45339095673992,36.699376632397396,15.111508025104813,0.404772536386736,2.833407754707152,0.6746208939778933,0.5396967151823147,1.3492417879557865,1134
T. Walcott,0.3598547086909243,17.833727925625954,31.428291016471974,12.571316406588789,0.5847123910041298,0.43853429325309723,0.43853429325309723,0.2923561955020649,0.730890488755162,1288
R. Lukaku,0.7430952424640163,13.90002541040759,23.352042689484755,8.89601626266086,6.449611790429123,0.7228013213411947,0.8896016262660859,0.3892007114914125,0.5560010164163037,2998
D. Sturridge,0.6548533203914777,18.156185895516817,26.166267908244823,12.015123019092012,0.8010082012728007,2.4030246038184018,0.5340054675152005,0.26700273375760025,0.5340054675152005,577
J. Hern\u00e1ndez,0.5409512154220636,14.857747522509312,17.234987126110806,10.935302176566855,1.9017916828811923,0.3565859405402235,0.9508958414405961,0.0,0.8320338612605217,1635
W. Rooney,0.30564482845431834,25.541161939171324,22.638757173356403,3.897514971237183,2.3219238126519386,0.8292585045185494,0.5804809531629846,0.08292585045185495,0.4975551027111296,2328
D. Welbeck,0.5627938853232782,19.9202935668338,28.457562238334,8.181549143521025,2.7271830478403416,0.355719527979175,0.5928658799652916,0.23714635198611667,0.47429270397223333,1270
A. Carroll,0.6274943233170353,12.262283377685467,24.747517362237943,7.35737002661128,17.167196728759656,0.2229506068670085,0.6688518206010255,0.0,0.6688518206010255,806
J. Defoe,0.73086989261568,8.905216631749013,17.49796952203315,4.9994198634380425,0.0,0.4686956121973165,0.6249274829297553,0.15623187073243883,0.31246374146487765,1161
S. Ag\u00fcero,0.8188012699822133,17.742410151520133,26.83779730500699,9.607803331148089,1.0248323553224628,0.8326762886995009,1.0888843775301167,0.3843121332459235,1.0248323553224628,2038
S. Long,0.5203177286314804,14.281813880666789,26.751755851099734,6.075099934313485,7.460649042139367,0.2131614012039819,0.2131614012039819,0.10658070060199094,0.8526456048159275,1662
G. Murray,0.6333968146765053,11.828750109153876,22.255574279445074,7.097250065492326,10.163963056754442,0.7009629694313408,0.7009629694313408,0.0,0.5257222270735056,2279
M. Antonio,0.3995821008295417,14.066445090419084,27.288903475413022,18.427043068449,6.329900290688589,0.7033222545209542,0.42199335271257254,0.14066445090419086,0.5626578036167634,1404
H. Robson-Kanu,0.619825022457991,14.489767488409122,24.39110860548869,15.697248112443216,5.55441087055683,0.9659844992272747,0.48299224961363735,0.0,0.724488374420456,881
H. Kane,1.0235322032692686,12.55344022391904,20.782917704043744,8.880396602846432,2.882641829196224,0.743907568824832,1.255344022391904,0.092988446103104,0.41844800746396804,3201
P. Crouch,0.4841664676101137,11.630839175637762,21.718811930017456,3.0857328425161406,29.433144036307805,0.11868203240446695,0.5934101620223348,0.2373640648089339,0.35604609721340086,1666
T. Deeney,0.36811671452950606,13.9871011312756,20.755053291570242,3.429095761215953,13.084707509902978,0.7219148970980954,0.18047872427452386,0.09023936213726193,0.2707180864117858,1940
C. Austin,1.0502156762722723,10.924380879105588,19.531468844461504,4.303543982677959,5.958753206784865,0.16552092241069072,0.9931255344641442,0.0,0.16552092241069072,1109
J. Rodriguez,0.5741713942690945,16.50255400887321,25.324195783201755,7.528814962573495,5.247355883005769,0.3041945439423634,0.4562918159135452,0.0,0.3041945439423634,2868
A. Barnes,0.6338660257132449,12.457717461157525,25.186254867122823,9.839791328015727,7.853778399425395,0.5416398896155445,0.8124598344233168,0.0,0.3610932597436964,2275
S. Vokes,0.5732306598391984,8.799213074572473,21.717206737242698,3.9315632886387637,23.96381433075056,0.0,0.748869197835955,0.0,0.18721729945898874,1095
C. Wood,0.8335103317915629,13.599370122645238,23.588288000340413,5.054633142930088,9.868569469530174,0.12034840816500211,1.203484081650021,0.12034840816500211,0.48139363266000845,1673
S. Berahino,0.2358356856827665,14.00368223541641,18.534285311580543,5.354349090012156,3.2949840553920966,0.0,0.0,0.4118730069240121,0.0,538
J. King,0.4485238129031586,17.2351270555463,23.847788048286514,16.60199993922011,5.205711845348679,1.0552118605436511,0.4220847442174604,0.1406949147391535,1.2662542326523814,2581
A. Gray,0.6308206275687741,13.736617241663536,19.47016182948832,5.852993433404464,2.03063037485461,0.5972442278984147,0.5972442278984147,0.2388976911593659,0.4777953823187318,1594
R. Sterling,0.6805226250299722,25.307031447499888,38.82656725880686,10.344128823597863,0.43301004377851526,0.8179078604705288,0.8179078604705288,0.48112227086501685,0.9141323146435322,2697
C. Wilson,0.6261335507144506,13.382159025470937,20.39186137214619,9.103509541136692,2.0027720990500724,0.7282807632909354,0.7282807632909354,0.18207019082273385,0.2731052862341008,2063
D. Gayle,0.826619553664743,13.740243974496018,20.355916999253356,5.088979249813339,6.819232194749875,0.4071183399850672,0.6106775099776007,0.30533875498880036,0.2035591699925336,2040
J. Vardy,0.5116380921880095,8.934109897066703,17.257814770110215,4.272835168162336,4.217343802342046,0.16647409746087022,0.8323704873043511,0.11098273164058015,0.6104050240231909,3370
M. Arnautovi\u0107,0.8514106826864748,22.344320459663553,29.21949598571388,13.832198379791723,1.39140457074828,0.9821679322929034,0.9003206046018283,0.4092366384553764,0.9003206046018283,2391
S. Okazaki,0.8940129087800898,14.899749707104057,17.521001970390884,9.243363244221962,4.414740653956759,0.8277638726168922,0.8277638726168922,0.0,0.5518425817445949,1374
Son Heung-Min,0.4202387996502453,28.128694549594332,38.676955005692214,11.041746325389004,0.24674293464556435,1.0486574722436486,0.740228803936693,0.3084286683069554,0.5551716029525198,2383
M. Diouf,0.5574947561225616,12.670406332278741,23.986115132175478,5.259413949247779,11.873525430877564,0.31875236056047146,0.4781285408407072,0.07968809014011786,0.4781285408407072,2698
E. Choupo-Moting,0.5848463233596561,18.828491639582808,25.40070098547492,15.720014246255458,4.795936549705055,0.9769500379028815,0.44406819904676426,0.35525455923741145,0.44406819904676426,2355
Roberto Firmino,0.41753773871331656,23.33961730725831,28.425084381087533,8.136747318126753,2.6230303854487556,1.7129994353951057,0.7494372529853587,0.2141249294243882,0.6959060206292617,2852
E. Kachunga,0.26449086423731616,15.312581891100503,21.072360400597024,11.800521824334332,2.950130456083583,0.2809648053412936,0.1404824026706468,0.1404824026706468,0.702412013353234,1364
C. Quaner,0.2609759486730976,22.031936453974893,26.943514644351463,11.928118462343097,2.385623692468619,0.28066161087866104,0.0,0.5613232217573221,0.5613232217573221,1360
S. Okaka,0.3736844123981739,20.767058823529414,24.286899302093715,14.079361914257229,7.391665004985045,1.055952143569292,0.3519840478564307,0.3519840478564307,0.3519840478564307,500
M. Gabbiadini,0.4160594284571266,7.460431168929181,13.916573526656355,2.4389871129191554,1.8651077922322952,0.143469830171715,0.57387932068686,0.0,0.57387932068686,1153
A. Lacazette,0.6475687831990158,18.835415308230832,29.589419318673432,8.208677617438436,1.5271958358024997,0.5726984384259374,0.7635979179012499,0.25453263930041664,1.1453968768518747,2279
J. Ayew,0.42441729349204915,16.624300363000067,26.19175485762459,16.963571798979658,3.596277221383688,0.27141714878367457,0.4071257231755118,0.06785428719591864,0.27141714878367457,2952
A. Ayew,0.40705914198111903,16.10245865534835,17.317738553865208,8.506959289617996,4.152206319932594,0.40509329950561884,0.3038199746292141,0.20254664975280942,0.20254664975280942,1927
E. Hazard,0.40119721967597566,49.59130876176599,45.69532045691354,23.90419942977269,0.39620220049347,2.6413480032898,0.66033700082245,0.13206740016448998,1.58480880197388,2504
S. Man\u00e9,0.5909100135483192,24.872309812489743,34.51531762749245,11.970630391037844,1.596084052138379,1.7955945586556765,0.6650350217243246,0.26601400868972985,0.7980420260691895,2257
P. Aubameyang,0.7985659282499699,13.779300220210422,21.530156594078786,4.593100073403474,1.2918093956447272,0.14353437729385857,1.2918093956447272,0.5741375091754343,0.5741375091754343,1098
O. Giroud,0.8648374237354121,15.974878470882613,30.68858232564292,4.344045899976852,8.828222312856182,0.5605220516099163,0.9809135903173535,0.14013051290247908,0.8407830774148745,1093
C. Tosun,0.517457328324384,18.15786259588026,25.534494275456616,6.2417652673338395,5.863476463253001,0.3782888040808387,0.9457220102020969,0.0,0.7565776081616774,1017
C. Benteke,0.7685582334448112,10.854304392405428,20.145588952304475,6.7730859408609865,22.83745644162102,0.34733774055697364,0.17366887027848682,0.26050330541773026,0.5210066108354605,2344
L. Depoitre,0.31977799907091603,10.138048482538021,18.53191658098348,7.739800454410747,14.607510716775215,0.21802254801157037,0.6540676440347112,0.0,0.10901127400578518,1917
G. Carrillo,0.3109489887990833,11.87251890479738,18.3176005959731,2.374503780959476,10.854874427243319,0.6784296517027074,0.0,0.3392148258513537,0.0,465
J. Izquierdo,0.4602633175907885,21.67311545034535,25.184962861280933,9.130803268432532,1.0033849745530252,0.3010154923659076,0.5016924872765126,0.3010154923659076,0.7023694821871177,2062
I. Slimani,0.16596679253226893,23.375898643320035,27.04270627364475,11.458773844764725,5.958562399277656,0.9167019075811779,0.45835095379058893,0.45835095379058893,1.375052861371767,431
Mohamed Salah,0.8705222348124905,21.338537005576043,31.35045721198376,10.062485459975433,0.5056525356771574,1.2641313391928934,1.567522860599188,0.3539567749740102,0.5562177892448732,2995
B. Afobe,0.5303895571866442,15.563975785285162,18.05421191093079,8.715826439759692,5.291751766996955,0.0,0.0,0.0,0.0,591
A. Martial,0.6367896277868529,30.316215650231523,40.12146031598298,14.507759964632246,1.5008027549619565,1.6008562719594204,0.8004281359797102,0.5002675849873188,1.2006422039695652,1650
O. Niasse,1.2756871943892758,15.558629973400317,31.117259946800633,11.626228991112326,6.667984274314421,0.8548697787582591,1.3677916460132147,0.17097395575165183,0.5129218672549555,1159
S. Mouni\u00e9,0.623682186926075,12.311796502976394,20.289840636905097,4.333752369047692,16.054582639881218,0.09849437202381116,0.7879549761904893,0.09849437202381116,0.29548311607143346,1938
Ayoze P\u00e9rez,0.579595525315774,17.654568739003516,24.65277616707698,11.849237577078936,3.5786287984466583,0.9543010129191088,0.6362006752794059,0.31810033763970297,0.8747759285091832,2598
L. Mousset,0.39346492253933146,15.236342369616073,24.486978808311548,15.508419911930645,1.3603877115728638,1.0883101692582908,0.5441550846291454,0.0,0.5441550846291454,676
F. Diabat\u00e9,0.12414970919590038,27.035573122529645,34.875889328063245,14.599209486166007,2.9739130434782606,0.8110671936758894,0.0,0.27035573122529644,0.8110671936758894,630
K. Iheanacho,0.9356931461842014,18.491142848568884,24.374688300386257,7.144305191492524,1.0506331163959595,1.4708863629543434,0.6303798698375757,0.42025324655838375,0.8405064931167675,886
D. Solanke,0.7668817541177214,17.13354064282344,26.798614851595637,6.809484101634956,4.832537104386098,0.8786431098883815,0.21966077747209536,0.43932155494419073,0.8786431098883815,647
D. Calvert-Lewin,0.5481472903678375,12.86480885119408,28.262060389631092,7.597328061728789,14.992060708478144,0.20259541497943437,0.40519082995886874,0.40519082995886874,0.40519082995886874,1985
Gabriel Jesus,0.7647374020688257,15.21482045703552,21.852658793683368,4.2511998335834535,1.491649064415247,0.9695718918699104,0.9695718918699104,0.1491649064415247,0.44749471932457413,1729
T. Abraham,0.6795709719758126,7.996177236485614,16.93927019834452,9.784795828857394,5.471068635490156,0.6312771502488642,0.5260642918740535,0.1052128583748107,0.3156385751244321,1813
Richarlison,0.6424916745200364,15.645882625105694,29.065473651382117,15.089309725398374,8.039386329105692,0.6802557663089432,0.3092071665040651,0.24736573320325203,0.3092071665040651,2963
M. Rashford,0.4153734867815891,17.107216217809246,28.825659327008573,10.178793649596502,1.4541133785137859,1.197505135246647,0.5987525676233235,0.3421443243561849,0.7698247298014159,1904
